researcher_id,researcher_name,title,link,cited_by,year,authors,journal
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the B-+/-production cross-section in pp collisions at root s= 7 TeV,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:QIV2ME_5wuYC,85,2012,LHCb Collaboration,"Journal of High Energy Physics, 093"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of ψ (2S) meson production in pp collisions at√ s= 7 TeV,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:aqlVkmm33-oC,83,2012,LHCb Collaboration,"European Physical Journal C 72 (8), 2100"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Search for violation in decays,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:CHSYGLWDkRkC,80,2011,"R Aaij, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, J Albrecht, ...","Physical Review D—Particles, Fields, Gravitation, and Cosmology 84 (11), 112008"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Framework TDR for the LHCb upgrade: technical design report,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:Y0pCki6q_DkC,77,2012,"I Bediaga, H Chanal, P Hopchev, S Cadeddu, S Stoica, M Calvo Gomez, ...",LHCb-TDR-012
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the B ± production cross-section in pp collisions at = 7 TeV,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:AXPGKjj_ei8C,76,2012,"R Aaij, CA Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, ...","Journal of High Energy Physics 2012 (4), 1-13"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurements of the branching fractions of the decays and,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:KlAtU1dfN6UC,74,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Journal of High Energy Physics 2012 (6), 1-18"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Search for Lepton Number Violating Decays and,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:ldfaerwXgEUC,73,2012,"R Aaij, C Abellan Beteta, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physical Review Letters 108 (10), 101601"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Measurement of the time-dependent CP asymmetry in B0→ J/ψKS0 decays,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:f2IySw72cVMC,72,2013,"R Aaij, CA Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, A Affolder, ...","Physics Letters B 721 (1-3), 24-31"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Observation of Excited Λb0 Baryons,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:L8Ckcad2t8MC,65,2012,LHCb Collaboration,"Physical Review Letters 109 (17), 172003"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Observation of the decay Bs0→ D¯ 0ϕ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:u-x6o8ySG0sC,58,2013,"R Aaij, B Adeva, M Adinolfi, C Adrover, A Affolder, Z Ajaltouni, J Albrecht, ...","Physics Letters B 727 (4-5), 403-411"
56m4FtQAAAAJ,Marwa JAHJAH hussein,Observation of and Evidence for,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=56m4FtQAAAAJ&cstart=20&pagesize=80&citation_for_view=56m4FtQAAAAJ:HoB7MX3m0LUC,56,2012,"R Aaij, C Abellan Beteta, A Adametz, B Adeva, M Adinolfi, C Adrover, ...","Physical Review Letters 109 (13), 131801"
